"{""richText"":[{""font"":{""bold"":true,""size"":8,""color"":{}},""text"":""Note: ""},{""font"":{""size"":8,""color"":{}},""text"":""The data and information in this document is reflective of a hypothetical situation and client. This document is to be used for KPMG Virtual Internship purposes only. ""}]}",,,,,,,,,,,,
"transaction_id","product_id","customer_id","transaction_date","online_order","order_status","brand","product_line","product_class","product_size","list_price","standard_cost","product_first_sold_date"
"87","27","1233","42878",,"Approved","Trek Bicycles","Standard","medium","medium","499.53","388.72","33455"
"88","31","1390","42953",,"Approved","WeareA2B","Standard","medium","medium","752.64","205.36","34079"
"89","0","2682","42829","1","Approved","OHM Cycles","Road","high","large","12.01","7.21","40303"
"90","62","439","42962","1","Approved","Solex","Standard","medium","medium","478.16","298.72","34143"
"91","17","1579","42840","1","Approved","Solex","Standard","high","medium","1024.66","614.8","35160"
"92","73","2984","42941","1","Approved","Solex","Standard","medium","medium","1945.43","333.18","36668"
"93","33","3470","43067","1","Approved","Giant Bicycles","Standard","medium","small","1311.44","1167.18","36498"
"94","86","1","43092",,"Approved","OHM Cycles","Standard","medium","medium","235.63","125.07","38482"
"95","45","757","42792",,"Approved","Solex","Standard","medium","medium","441.49","84.99","34071"
"96","1","1778","42787",,"Approved","Giant Bicycles","Standard","medium","medium","1403.5","954.82","40649"
"97","80","211","42886","1","Approved","OHM Cycles","Touring","low","medium","1073.07","933.84","38339"
"98","49","333","42909",,"Approved","Trek Bicycles","Road","medium","medium","533.51","400.13","37823"
"99","95","32","42820",,"Approved","Giant Bicycles","Standard","medium","large","569.56","528.43","37874"
"100","0","119","42947",,"Approved","Solex","Standard","medium","medium","478.16","298.72","36146"
"101","18","2347","42943",,"Approved","Norco Bicycles","Standard","high","medium","1148.64","689.18","42226"
"102","4","2353","42839",,"Approved","Giant Bicycles","Standard","high","medium","1129.13","677.48","40649"
"103","33","788","43051",,"Approved","Giant Bicycles","Standard","medium","small","1311.44","1167.18","33888"
"104","78","1468","42990",,"Approved","Giant Bicycles","Standard","medium","large","1765.3","709.48","38193"
"105","89","821","43034",,"Approved","WeareA2B","Touring","medium","large","1362.99","57.74","41434"
"106","70","2489","42781",,"Approved","Trek Bicycles","Standard","high","medium","495.72","297.43","42105"
"107","79","2710","43091",,"Approved","Norco Bicycles","Standard","medium","medium","1555.58","818.01","37873"
"108","26","947","43019","1","Approved","WeareA2B","Standard","medium","medium","1992.93","762.63","34115"
"109","39","1335","42821","1","Approved","Giant Bicycles","Standard","medium","large","1812.75","582.48","38991"
"110","36","1076","43043",,"Approved","Solex","Standard","low","medium","945.04","507.58","35052"
"111","0","3320","42897","1","Approved","OHM Cycles","Standard","low","medium","71.16","56.93","42172"
"112","84","779","43017",,"Approved","Giant Bicycles","Road","medium","medium","792.9","594.68","33879"
"113","98","3296","42893","1","Approved","Trek Bicycles","Standard","high","medium","358.39","215.03","33364"
"114","75","455","43032","1","Approved","Giant Bicycles","Touring","medium","large","1873.97","863.95","37873"
"115","76","1779","42856",,"Approved","WeareA2B","Standard","low","medium","642.31","513.85","38482"
"116","72","2703","43060","1","Approved","Norco Bicycles","Standard","medium","medium","360.4","270.3","40553"
"117","42","806","42818",,"Approved","OHM Cycles","Road","medium","small","1810","1610.9","34071"
"118","20","22","42815",,"Approved","Trek Bicycles","Standard","medium","small","1775.81","1580.47","40303"
"119","64","1591","42786",,"Approved","Trek Bicycles","Standard","medium","large","1469.44","596.55","38647"
"120","0","678","42902",,"Approved","Trek Bicycles","Standard","high","medium","495.72","297.43","42105"
"121","25","50","43073",,"Approved","Giant Bicycles","Road","medium","medium","1538.99","829.65","33888"
"122","24","1038","43070","1","Approved","Solex","Road","medium","large","1777.8","820.78","34115"
"123","31","1453","42799","1","Approved","WeareA2B","Standard","medium","medium","752.64","205.36","42218"
"124","98","1339","42815",,"Approved","OHM Cycles","Standard","medium","medium","795.34","101.58","35470"
"125","22","3382","42738","1","Approved","Solex","Standard","medium","medium","575.27","431.45","41345"
"126","53","773","42826",,"Approved","OHM Cycles","Standard","medium","medium","795.34","101.58","37823"
"127","84","2503","42810","1","Approved","Trek Bicycles","Road","medium","medium","290.62","215.14","38482"
"128","25","1057","42792",,"Approved","Giant Bicycles","Road","medium","medium","1538.99","829.65","42404"
"129","50","1397","42891",,"Approved","WeareA2B","Standard","medium","small","175.89","131.92","42295"
"130","44","2134","42982",,"Approved","WeareA2B","Standard","medium","medium","1769.64","108.76","40672"
"131","96","2403","42753","1","Approved","WeareA2B","Road","low","small","1172.78","1043.77","37539"
"132","12","1937","43006",,"Approved","WeareA2B","Standard","medium","medium","1231.15","161.6","38216"
"133","93","1282","42980","1","Approved","WeareA2B","Standard","medium","medium","1065.03","230.09","37539"
"134","78","2183","42864",,"Approved","Giant Bicycles","Standard","medium","large","1765.3","709.48","33429"
"135","84","1788","43025",,"Approved","Giant Bicycles","Road","medium","medium","792.9","594.68","38859"
"136","65","1170","42850","1","Approved","WeareA2B","Standard","medium","medium","1807.45","778.69","42105"
"137","0","431","43001",,"Approved",,,,,"1942.61",,
"138","29","1940","42949",,"Approved","WeareA2B","Standard","medium","medium","1065.03","230.09","36833"
"139","32","2073","42819",,"Cancelled","Giant Bicycles","Standard","high","medium","1179","707.4","36833"
"140","11","462","42736",,"Approved","Giant Bicycles","Standard","high","medium","1274.93","764.96","42560"
"141","10","2728","43091",,"Approved","Solex","Standard","medium","medium","1945.43","333.18","37499"
"142","46","2053","43094",,"Approved","Solex","Standard","low","medium","1289.85","74.51","41064"
"143","60","2135","42761","1","Approved","Giant Bicycles","Standard","high","small","1977.36","1759.85","41047"
"144","92","1217","43089",,"Approved","WeareA2B","Touring","medium","large","1890.39","260.14","33259"
"145","7","2992","42893","1","Approved","Trek Bicycles","Road","low","medium","980.37","234.43","38693"
"146","41","3261","42831","1","Approved","Solex","Road","medium","medium","416.98","312.74","35560"
"147","67","2748","42850","1","Approved","Norco Bicycles","Road","medium","medium","544.05","376.84","38647"
"148","14","3262","42748",,"Approved","Trek Bicycles","Standard","medium","small","1386.84","1234.29","37838"
"149","89","788","42815",,"Approved","WeareA2B","Touring","medium","large","1362.99","57.74","34079"
"150","9","3067","43060","1","Approved","OHM Cycles","Road","medium","medium","742.54","667.4","34586"
"151","31","701","43050",,"Approved","Giant Bicycles","Standard","medium","medium","230.91","173.18","37698"
"152","92","648","43024",,"Approved","WeareA2B","Standard","medium","small","1415.01","1259.36","36833"
"153","37","3286","42966","1","Approved","OHM Cycles","Standard","low","medium","1793.43","248.82","36361"
"154","3","3383","42831","1","Approved","Trek Bicycles","Standard","medium","large","2091.47","388.92","40784"
"155","56","982","43043","1","Approved","Norco Bicycles","Mountain","low","small","688.63","612.88","42404"
"156","14","676","42969","1","Approved","Solex","Standard","high","large","1842.92","1105.75","37873"
"157","6","385","42993","1","Approved","Solex","Standard","high","medium","748.17","448.9","42105"
"158","50","1229","42795","1","Approved","WeareA2B","Standard","medium","small","175.89","131.92","39915"
"159","10","3232","42963",,"Approved","WeareA2B","Touring","medium","medium","1466.68","363.25","41345"
"160","0","3300","42974",,"Approved",,,,,"1656.86",,
"161","69","2381","42926",,"Approved","Giant Bicycles","Road","medium","medium","792.9","594.68","42105"
"162","78","371","43080",,"Approved","Giant Bicycles","Standard","medium","large","1765.3","709.48","38193"
"163","80","2519","42875","1","Approved","OHM Cycles","Touring","low","medium","1073.07","933.84","42226"
"164","17","2264","42946",,"Approved","Solex","Standard","high","medium","1024.66","614.8","35378"
"165","3","2637","43033","1","Approved","Trek Bicycles","Standard","medium","large","2091.47","388.92","38573"
"166","78","3262","43066",,"Approved","Giant Bicycles","Standard","medium","large","1765.3","709.48","38193"
"167","90","3177","42851",,"Approved","Norco Bicycles","Standard","low","medium","363.01","290.41","38482"
"168","87","2267","42768",,"Approved","Giant Bicycles","Standard","high","medium","1179","707.4","35667"
"169","97","456","42857",,"Approved","Solex","Standard","medium","large","202.62","151.96","38002"
"170","6","404","43024",,"Approved","OHM Cycles","Standard","high","medium","227.88","136.73","37838"
"171","100","3121","43030",,"Approved","Norco Bicycles","Road","medium","medium","1036.59","206.35","33364"
"172","55","2365","42836","1","Approved","Trek Bicycles","Road","medium","large","1894.19","598.76","33259"
"173","100","2528","43055",,"Approved","Norco Bicycles","Road","medium","medium","1036.59","206.35","33364"
"174","10","3151","43086",,"Approved","WeareA2B","Touring","medium","medium","1466.68","363.25","34586"
"175","25","3241","43092",,"Approved","Giant Bicycles","Road","medium","medium","1538.99","829.65","42696"
"176","74","1335","42824","1","Approved","WeareA2B","Standard","medium","medium","1228.07","400.91","37873"
"177","90","2234","42838",,"Approved","Norco Bicycles","Standard","low","medium","363.01","290.41","38482"
"178","56","3226","42941","1","Approved","OHM Cycles","Standard","medium","medium","183.86","137.9","35707"
"179","62","1365","42766",,"Approved","Solex","Standard","medium","medium","478.16","298.72","34143"
"180","20","3349","42812","1","Approved","Trek Bicycles","Standard","medium","small","1775.81","1580.47","40303"
"181","17","1002","42790",,"Approved","Solex","Standard","high","medium","1024.66","614.8","40670"
"182","16","2282","42784",,"Approved","Norco Bicycles","Standard","high","small","1661.92","1479.11","41345"
"183","46","2656","42742",,"Approved","Solex","Standard","low","medium","1289.85","74.51","41064"
"184","71","2409","42921","1","Approved","Solex","Standard","high","large","1842.92","1105.75","34996"
"185","91","1711","43058",,"Approved","WeareA2B","Standard","low","medium","642.31","513.85","38193"
"186","17","2582","43047","1","Approved","Solex","Standard","high","medium","1024.66","614.8","35378"
"187","1","1005","42940","1","Approved","Giant Bicycles","Touring","medium","large","1873.97","863.95","37873"
"188","3","1597","42750","1","Approved","Trek Bicycles","Standard","medium","large","2091.47","388.92","41167"
"189","56","2713","42747","1","Approved","OHM Cycles","Standard","medium","medium","183.86","137.9","34143"
"190","37","1435","43066","1","Approved","OHM Cycles","Standard","low","medium","1793.43","248.82","40672"
"191","34","1477","42916","1","Approved","Norco Bicycles","Road","high","large","774.53","464.72","39526"
"192","0","1614","42931","1","Approved","Giant Bicycles","Standard","medium","medium","230.91","173.18","39031"
"193","12","1254","42908","1","Approved","WeareA2B","Standard","medium","medium","1231.15","161.6","39880"
"194","25","1423","42857",,"Approved","Giant Bicycles","Road","medium","medium","1538.99","829.65","40553"
"195","81","276","43096",,"Approved","Norco Bicycles","Standard","medium","small","586.45","521.94","33429"
"196","19","1315","43090","1","Approved","OHM Cycles","Road","high","large","12.01","7.21","36334"
"197","45","591","42878","1","Approved","Solex","Standard","medium","medium","441.49","84.99","34071"
"198","74","1017","42768",,"Approved","WeareA2B","Standard","medium","medium","1762.96","950.52","41848"
"199","33","2123","42894",,"Approved","Giant Bicycles","Standard","medium","small","1311.44","1167.18","33888"
"200","57","2889","42840","1","Approved","WeareA2B","Touring","medium","large","1890.39","260.14","34143"
"201","0","3208","42983","1","Approved","Trek Bicycles","Road","medium","medium","533.51","400.13","41064"
"202","23","2406","42792","1","Approved","Norco Bicycles","Mountain","low","small","688.63","612.88","39031"
"203","67","2041","42945",,"Approved","Norco Bicycles","Road","medium","medium","544.05","376.84","38647"
"204","81","1598","42919","1","Approved","Norco Bicycles","Standard","medium","small","586.45","521.94","33429"
"205","58","1842","42882","1","Approved","OHM Cycles","Standard","medium","medium","912.52","141.4","42295"
"206","5","141","42860",,"Approved","Giant Bicycles","Standard","high","medium","1129.13","677.48","38573"
"207","94","1321","42987",,"Approved","Giant Bicycles","Standard","medium","large","1635.3","993.66","41434"
"208","51","183","42876",,"Approved","OHM Cycles","Standard","high","medium","2005.66","1203.4","41009"
"209","59","2591","43000",,"Approved","WeareA2B","Standard","medium","small","1415.01","1259.36","37626"
"210","63","3356","42837","1","Approved","Solex","Standard","medium","medium","1483.2","99.59","33879"
"211","40","766","42862","1","Approved","OHM Cycles","Standard","high","medium","1458.17","874.9","38750"
"212","80","1596","42748",,"Approved","Trek Bicycles","Standard","medium","large","1469.44","596.55","38647"
"213","82","520","43083",,"Approved","Norco Bicycles","Standard","high","medium","1148.64","689.18","42226"
"214","46","868","42816","1","Approved","Solex","Standard","low","medium","1289.85","74.51","41009"
"215","78","2999","43008",,"Approved","Giant Bicycles","Standard","medium","large","1765.3","709.48","42226"
"216","72","352","43068","1","Approved","Norco Bicycles","Standard","medium","medium","360.4","270.3","42710"
"217","75","1140","42895",,"Approved","Giant Bicycles","Touring","medium","large","1873.97","863.95","38193"
"218","40","621","42846",,"Approved","Trek Bicycles","Road","medium","large","1894.19","598.76","37823"
"219","2","3307","43052",,"Approved","Giant Bicycles","Road","low","small","590.26","525.33","40487"
"220","10","1502","42834","1","Approved","WeareA2B","Touring","medium","medium","1466.68","363.25","41345"
"221","35","936","42863",,"Approved","Giant Bicycles","Standard","medium","medium","1403.5","954.82","42688"
"222","8","939","42924","1","Approved","Solex","Road","medium","small","1703.52","1516.13","40649"
"223","2","2698","43069",,"Approved","Giant Bicycles","Road","low","small","590.26","525.33","40487"
"224","69","579","42850","1","Approved","Giant Bicycles","Road","medium","medium","792.9","594.68","33879"
"225","54","2036","42824","1","Approved","WeareA2B","Standard","medium","medium","1292.84","13.44","39915"
"226","8","3077","42804",,"Approved","Solex","Road","medium","small","1703.52","1516.13","34079"
"227","86","369","42810","1","Approved","OHM Cycles","Standard","medium","medium","235.63","125.07","38482"
"228","13","821","42829","1","Approved","Solex","Standard","medium","medium","1163.89","589.27","41345"
"229","19","2687","42807","1","Approved","Trek Bicycles","Mountain","low","medium","574.64","459.71","40784"
"230","86","681","43092","1","Approved","OHM Cycles","Standard","medium","medium","235.63","125.07","41434"
"231","46","37","42959","1","Approved","OHM Cycles","Standard","low","medium","1793.43","248.82","36361"
"232","30","3002","42951",,"Approved","Solex","Standard","high","medium","748.17","448.9","36361"
"233","92","396","42979",,"Approved","WeareA2B","Touring","medium","large","1890.39","260.14","33259"
"234","71","550","42979","1","Approved","Solex","Standard","high","large","1842.92","1105.75","34996"
"235","77","1605","42918",,"Approved","Norco Bicycles","Road","medium","large","1240.31","795.1","40553"
"236","7","2325","42978","1","Approved","Giant Bicycles","Standard","medium","small","1311.44","1167.18","37698"
"237","23","1420","42805","1","Approved","Norco Bicycles","Mountain","low","small","688.63","612.88","34244"
"238","12","3099","43016",,"Approved","WeareA2B","Standard","medium","medium","1231.15","161.6","34586"
"239","61","1645","43009","1","Approved","OHM Cycles","Standard","low","medium","71.16","56.93","42145"
"240","21","546","43062",,"Approved","Solex","Standard","medium","large","1071.23","380.74","33552"
"241","86","2885","42821","1","Approved","OHM Cycles","Standard","medium","medium","235.63","125.07","37626"
"242","57","2740","43073",,"Approved","WeareA2B","Touring","medium","large","1890.39","260.14","36146"
"243","63","3166","43052","1","Approved","Solex","Standard","medium","medium","1483.2","99.59","36146"
"244","63","3487","43089","1","Approved","WeareA2B","Standard","medium","medium","1992.93","762.63","34115"
"245","33","2890","43000","1","Approved","Giant Bicycles","Standard","medium","small","1311.44","1167.18","40336"
"246","98","3370","42757",,"Approved","OHM Cycles","Standard","medium","medium","795.34","101.58","42172"
"247","15","3393","42764","1","Approved","Norco Bicycles","Standard","low","medium","958.74","748.9","39880"
"248","57","2410","42937",,"Approved","WeareA2B","Touring","medium","large","1890.39","260.14","34143"
"249","61","3466","42776","1","Approved","OHM Cycles","Standard","low","medium","71.16","56.93","42172"
"250","48","1454","43064",,"Cancelled","WeareA2B","Standard","medium","medium","1762.96","950.52","35470"
"251","63","1967","42836",,"Approved","Solex","Standard","medium","medium","1483.2","99.59","42145"
"252","78","3089","43072",,"Approved","Giant Bicycles","Standard","medium","large","1765.3","709.48","41533"
"253","2","3123","43099",,"Approved","Giant Bicycles","Road","low","small","590.26","525.33","40487"
"254","67","2692","42942",,"Approved","Solex","Standard","medium","large","1071.23","380.74","36334"
"255","67","2801","42826","1","Cancelled","Norco Bicycles","Road","medium","medium","544.05","376.84","38647"
"256","13","1580","43030","1","Approved","Solex","Standard","medium","medium","1577.53","826.51","40618"
"257","65","352","42816",,"Approved","WeareA2B","Standard","medium","medium","1807.45","778.69","42145"
"258","49","1777","42901","1","Approved","Trek Bicycles","Road","medium","medium","533.51","400.13","41064"
"259","87","142","42922","1","Approved","Giant Bicycles","Standard","high","medium","1179","707.4","35667"
"260","31","3393","43097",,"Approved","Giant Bicycles","Standard","medium","medium","230.91","173.18","40618"
"261","17","599","42864",,"Approved","Solex","Standard","high","medium","1024.66","614.8","39880"
"262","91","1258","42753",,"Approved","Solex","Standard","medium","medium","100.35","75.26","36367"
"263","53","3405","43030","1","Approved","OHM Cycles","Standard","medium","medium","795.34","101.58","36668"
"264","38","3198","42765",,"Approved","Solex","Standard","medium","medium","1577.53","826.51","34170"
"265","20","834","42912",,"Approved","Trek Bicycles","Standard","medium","small","1775.81","1580.47","40303"
"266","44","3467","43046","1","Approved","WeareA2B","Standard","medium","medium","1769.64","108.76","40672"
"267","69","3436","42960","1","Approved","Giant Bicycles","Road","medium","medium","792.9","594.68","41922"
"268","68","1516","42974",,"Approved","OHM Cycles","Standard","medium","medium","1636.9","44.71","40410"
"269","11","2833","42760","1","Approved","Giant Bicycles","Standard","high","medium","1274.93","764.96","41345"
"270","2","2362","42779",,"Approved","Solex","Standard","medium","medium","71.49","53.62","38573"
"271","27","2337","42927",,"Approved","Trek Bicycles","Standard","medium","medium","499.53","388.72","36334"
"272","0","2149","42855","1","Approved","Trek Bicycles","Standard","high","medium","358.39","215.03","38002"
"273","81","2133","42874",,"Approved","Solex","Standard","medium","medium","1151.96","649.49","35470"
"274","6","360","42881","1","Approved","OHM Cycles","Standard","high","medium","227.88","136.73","41701"
"275","76","2969","42769","1","Approved","WeareA2B","Standard","low","medium","642.31","513.85","41922"
"276","18","1720","42853",,"Approved","Solex","Standard","medium","medium","575.27","431.45","34244"
"277","18","2904","42817",,"Approved","Norco Bicycles","Standard","high","medium","1148.64","689.18","36145"
"278","9","754","42889",,"Approved","OHM Cycles","Road","medium","medium","742.54","667.4","33549"
"279","35","1826","42850",,"Approved","Giant Bicycles","Standard","medium","medium","1403.5","954.82","42688"
"280","93","2487","42833",,"Approved","WeareA2B","Standard","medium","medium","1065.03","230.09","42458"
"281","40","2815","42784",,"Approved","OHM Cycles","Standard","high","medium","1458.17","874.9","38750"
"282","1","541","42859",,"Approved","Giant Bicycles","Standard","medium","medium","1403.5","954.82","38258"
"283","16","302","42823",,"Approved","Norco Bicycles","Standard","high","small","1661.92","1479.11","34586"
"284","44","2024","43011","1","Approved","WeareA2B","Standard","medium","medium","1769.64","108.76","41064"
"285","48","142","42943","1","Approved","WeareA2B","Standard","medium","medium","1762.96","950.52","41848"
"286","56","768","42954","1","Approved","OHM Cycles","Standard","medium","medium","183.86","137.9","34170"
"287","36","2147","42773","1","Approved","Solex","Standard","low","medium","1289.85","74.51","41064"
"288","36","529","43059","1","Approved","Solex","Standard","low","medium","945.04","507.58","38750"
"289","13","825","42789",,"Approved","Solex","Standard","medium","medium","1163.89","589.27","34586"
"290","55","624","42830","1","Approved","Trek Bicycles","Road","medium","large","1894.19","598.76","34170"
"291","38","2302","43046",,"Approved","Solex","Standard","medium","medium","1577.53","826.51","40672"
"292","64","3380","43036",,"Approved","Giant Bicycles","Standard","high","small","1977.36","1759.85","42172"
"293","0","314","43058",,"Approved","OHM Cycles","Standard","high","medium","227.88","136.73","39298"
"294","79","1079","42972","1","Approved","Norco Bicycles","Standard","medium","medium","1555.58","818.01","37873"
"295","11","1643","42755","1","Approved","Giant Bicycles","Standard","high","medium","1274.93","764.96","39298"
